date,pm25,pm10,o3,no2,so2,co,pm25_aqi,pm10_aqi,o3_aqi,no2_aqi,so2_aqi,co_aqi,overall_aqi,PRECTOTCORR
01-01-14,328,308,5,45,22,29,411,258,5,56,28,371,411,0
02-01-14,278,567,4,63,8,44,405,425,4,79,10,463,463,0
03-01-14,340,711,5,34,8,40,413,450,5,42,10,438,450,0
04-01-14,377.3333333333333,655.3333333333334,6.333333333333333,29,7.666666666666667,38.666666666666664,418,440.3333333333333,6.333333333333333,36,9.666666666666666,429.6666666666667,442.6666666666667,0.04
05-01-14,414.6666666666667,599.6666666666666,7.666666666666666,24,7.333333333333333,37.333333333333336,423,430.6666666666667,7.666666666666666,30,9.333333333333334,421.3333333333333,435.3333333333333,0
06-01-14,452,544,9,19,7,36,428,421,9,24,9,413,428,0
07-01-14,401,744,8,22,4,35,421,456,8,28,5,407,456,0
08-01-14,485,651,8,57,10,43,432,439,8,71,12,456,456,0
09-01-14,502,612,7,80,11,35,434,433,7,100,14,407,434,0.01
10-01-14,468,545,8,43,13,32,430,421,8,54,16,388,430,0.03
11-01-14,420.6666666666667,537,9.333333333333334,40,13,30.666666666666668,423.6666666666667,419.6666666666667,9.333333333333334,50,16,380.3333333333333,425.6666666666667,0.77
12-01-14,373.3333333333333,529,10.666666666666666,37,13,29.333333333333332,417.3333333333333,418.3333333333333,10.666666666666666,46,16,372.6666666666667,421.3333333333333,0.01
13-01-14,326,521,12,34,13,28,411,417,12,42,16,365,417,0
14-01-14,373,468,8,20,16,32,417,407,8,25,20,388,417,0
15-01-14,403,554,7,22,8,33,421,422,7,28,10,394,422,0
16-01-14,409,326,5,10,9,31,422,276,5,12,11,382,422,0
17-01-14,377.25,269.25,5.25,9.5,8.25,29.25,417.75,231.75,5.25,11.5,10.25,371.75,417.75,0.72
18-01-14,345.5,212.5,5.5,9,7.5,27.5,413.5,187.5,5.5,11,9.5,361.5,413.5,12.05
19-01-14,313.75,155.75,5.75,8.5,6.75,25.75,409.25,143.25,5.75,10.5,8.75,351.25,409.25,0
20-01-14,282,99,6,8,6,24,405,99,6,10,8,341,405,0.01
21-01-14,181,101,5,7,6,26,347,101,5,9,8,353,353,8.78
22-01-14,179,99,8,18,19,26,346,99,8,22,24,353,353,5.46
23-01-14,178,132,8,13,6,26,345,122,8,16,8,353,353,0.54
24-01-14,184,150,7,10,5,26,349,134,7,12,6,353,353,0
25-01-14,210,237,13,10,6,29,369,191,13,12,8,371,371,0
26-01-14,230,368,15,9,7,27,385,322,15,11,9,359,385,0
27-01-14,252,318,17,18,11,23,401,268,17,22,14,336,401,0
28-01-14,216,266,8,24,9,27,374,216,8,30,11,359,374,0
29-01-14,299,560,9,41,12,34,407,423,9,51,15,400,423,0
30-01-14,364,497,8,28,10,29,416,413,8,35,12,371,416,0
31-01-14,339,414,15,18,13,30,413,380,15,22,16,377,413,0
01-02-14,342,679,8,24,26,40,413,444,8,30,32,438,444,0
02-02-14,425,748,9,54,12,41,424,456,9,67,15,444,456,0
03-02-14,269,562,7,31,18,26,403,424,7,39,22,353,424,0
04-02-14,209,362,8,31,17,23,369,315,8,39,21,336,369,0.01
05-02-14,204,209,5,22,29,17,365,173,5,28,36,300,365,0.01
06-02-14,192,187,6,12,14,10,355,158,6,15,18,200,355,0.02
07-02-14,167,247,5,11,6,11,336,198,5,14,8,214,336,1.59
08-02-14,179,350,9,16,7,13,346,300,9,20,9,243,346,0.66
09-02-14,169,669,10,18,8,17,338,442,10,22,10,300,442,0
10-02-14,214,461,10,19,14,18,372,406,10,24,18,306,406,0
11-02-14,258,439,12,21,9,18,402,402,12,26,11,306,402,0
12-02-14,201,435,12,22,11,13,362,402,12,28,14,243,402,0
13-02-14,225,84,5,15,6,13,381,84,5,19,8,243,381,4.95
14-02-14,171,142,9,22,6,19,339,128,9,28,8,312,339,23.88
15-02-14,175.33333333333334,192.33333333333334,10.666666666666666,21.666666666666668,7,19.666666666666668,342.3333333333333,166.33333333333334,10.666666666666666,27.333333333333332,9,316,342.3333333333333,1.04
16-02-14,179.66666666666666,242.66666666666669,12.333333333333334,21.333333333333332,8,20.333333333333332,345.6666666666667,204.66666666666669,12.333333333333334,26.666666666666668,10,320,345.6666666666667,0
17-02-14,184,293,14,21,9,21,349,243,14,26,11,324,349,0
18-02-14,207,666,8,26,16,34,367,442,8,32,20,400,442,0
19-02-14,385,584,7,29,17,27,419,428,7,36,21,359,428,0
20-02-14,333,918,6,30,7,28,412,486,6,38,9,365,486,0
21-02-14,477,682,5,43,17,14,431,445,5,54,21,257,445,0
22-02-14,378,616.3333333333334,6.666666666666667,39.333333333333336,14.666666666666666,15.333333333333334,402.6666666666667,433.3333333333333,6.666666666666667,49.333333333333336,18,273.3333333333333,433.3333333333333,3.86
23-02-14,279,550.6666666666666,8.333333333333334,35.666666666666664,12.333333333333332,16.666666666666668,374.3333333333333,421.6666666666667,8.333333333333334,44.666666666666664,15,289.6666666666667,421.6666666666667,0
24-02-14,180,485,10,32,10,18,346,410,10,40,12,306,410,0
25-02-14,218,230,10,35,20,12,375,187,10,44,25,228,375,0
26-02-14,214,131,10,23,10,11,372,121,10,29,12,214,372,2.4
27-02-14,136,64,15,17,15,14,313,64,15,21,19,257,313,4.43
28-02-14,123,73,14,14,8,11,303,73,14,18,10,214,303,13.03
01-03-14,135.33333333333334,177,19.666666666666668,16,11.333333333333334,12.666666666666666,312.3333333333333,163.33333333333331,19.666666666666668,20.333333333333332,14,238,316.6666666666667,2.65
02-03-14,147.66666666666666,281,25.333333333333336,18,14.666666666666668,14.333333333333334,321.6666666666667,253.66666666666666,25.333333333333336,22.666666666666668,18,262,330.3333333333333,0
03-03-14,160,385,31,20,18,16,331,344,31,25,22,286,344,0.01
04-03-14,195,527,33,19,14,12,358,418,33,24,18,228,418,0
05-03-14,182,462,34,18,9,14,348,406,34,22,11,257,406,0.02
06-03-14,166,490,37,18,9,12,336,411,37,22,11,228,411,2.12
07-03-14,171,434,32,17,9,12,339,402,32,21,11,228,402,0
08-03-14,170,500,30,19,9,16,339,413,30,24,11,286,413,0
